Helység.megnevezése;IRSZ
Gyöngyöshalász;3212
Gyöngyösmellék;7972
Gyöngyösoroszi;3211
Gyöngyöspata;3035
Gyöngyössolymos;3231
Gyöngyöstarján;3036
Gyönk;7064
Győr;9023
Győr;9022
Győr;9012
Győr;9025
Győr;9026
Győr;9011
Győr;9024
Győr;9027
Győr;9000
Győr;9030
Győr;9029
Győr;9028
Győr;9021
Győr;9019
Győrasszonyfa;9093
Györe;7352
Györgytarló;3954
Györköny;7045
Győrladamér;9173
Győröcske;4625
Győrság;9084
Győrsövényház;9161
Győrszemere;9121
Győrtelek;4752
Győrújbarát;9081
Győrújfalu;9171
Győrvár;9821
Győrzámoly;9172
Gyugy;8692
Gyula;5711
Gyula;5700
Gyulaháza;4545
Gyulaj;7227
Gyulakeszi;8286
Gyúró;2464
Gyügye;4733
Gyüre;4813
Gyűrűs;8932
Hács;8694
Hagyárosbörönd;8992
Hahót;8771
Hajdúbagos;4273
Hajdúböszörmény;4220
Hajdúböszörmény;4086
Hajdúböszörmény;4074
Hajdúböszörmény;4224
Hajdúdorog;4087
Hajdúhadház;4242
Hajdúnánás;4085
Hajdúnánás;4080
Hajdúsámson;4251
Hajdúszoboszló;4200
Hajdúszovát;4212
Hajmás;7473
Hajmáskér;8192
Hajós;6344
Halastó;9814
Halászi;9228
Halásztelek;2314
Halimba;8452
Halmaj;3842
Halmajugra;3273
Halogy;9917
Hangács;3795
Hangony;3626
Hantos;2434
Harasztifalu;9784
Harc;7172
Harka;9422
Harkakötöny;6136
Harkány;7815
Háromfa;7585
Háromhuta;3936
Harsány;3555
Hárskút;8442
Harta;6326
Harta;6327
Hásságy;7745
Hatvan;3000
Hédervár;9178
Hedrehely;7533
Hegyesd;8296
Hegyeshalom;9222
Hegyfalu;9631
Hegyháthodász;9915
Hegyhátmaróc;7348
Hegyhátsál;9915
Hegyhátszentjakab;9934
Hegyhátszentmárton;9931
Hegyhátszentpéter;9821
Hegykő;9437
Hegymagas;8265
Hegymeg;3786
Hegyszentmárton;7837
Héhalom;3041
Hejce;3892
Hejőbába;3593
Hejőkeresztúr;3597
Hejőkürt;3588
Hejőpapi;3594
Hejőszalonta;3595
Helesfa;7683
Helvécia;6034
Hencida;4123
Hencse;7532
Herceghalom;2053
Hercegkút;3958
Hercegszántó;6525
Heréd;3011
Héreg;2832
Herencsény;2677
Herend;8440
Heresznye;7587
Hermánszeg;4735
Hernád;2376
Hernádbűd;3853
Hernádcéce;3887
Hernádkak;3563
Hernádkércs;3846
Hernádnémeti;3564
Hernádpetri;3874
Hernádszentandrás;3852
Hernádszurdok;3875
Hernádvécse;3874
Hernyék;8957
Hét;3655
Hetefejércse;4843
Hetes;7432
Hetvehely;7681
Hetyefő;8344
Heves;3360
Hevesaranyos;3322
Hevesvezekény;3383
Hévíz;8380
Hévízgyörk;2192
Hidas;7696
Hidasnémeti;3876
Hidegkút;8247
Hidegség;9491
Hidvégardó;3768
Himesháza;7735
Himod;9362
Hirics;7838
Hobol;7971
Hodász;4334
Hódmezővásárhely;6800
Hódmezővásárhely;6805
Hódmezővásárhely;6806
Hollád;8731
Hollóháza;3999
Hollókő;3176
Homokbödöge;8563
Homokkomárom;8777
Homokmégy;6341
Homokszentgyörgy;7537
Homorúd;7716
Homrogd;3812
Hont;2647
Horpács;2658
Hort;3014
Hortobágy;4071
Horváthertelend;7935
Horvátlövő;9796
Horvátzsidány;9733
Hosszúhetény;7694
Hosszúpályi;4274
Hosszúpereszteg;9676
Hosszúvíz;8716
Hosszúvölgy;8777
Hosztót;8475
Hottó;8991
Hőgyész;7191
Hövej;9361
Hugyag;2672
Hunya;5555
Hunyadfalva;5063
Husztót;7678
Ibafa;7935
Iborfia;8984
Ibrány;4484
Igal;7275
Igar;7016
Igar;7015
Igrici;3459
Iharos;8726
Iharosberény;8725
Ikervár;9756
Iklad;2181
Iklanberény;9634
Iklódbördőce;8958
Ikrény;9141
Iliny;2674
Ilk;4566
Illocska;7775
Imola;3725
Imrehegy;6238
Ináncs;3851
Inárcs;2365
Inke;8724
Ipacsfa;7847
Ipolydamásd;2631
Ipolyszög;2660
Ipolytarnóc;3138
Ipolytölgyes;2633
Ipolyvece;2669
Iregszemcse;7095
Irota;3786
Isaszeg;2117
Ispánk;9941
Istenmezeje;3253
Istvándi;7987
Iszkaszentgyörgy;8043
Iszkáz;8493
Isztimér;8045
Ivád;3248
Iván;9374
Ivánbattyán;7772
Ivánc;9931
Iváncsa;2454
Ivándárda;7781
Izmény;7353
Izsák;6070
Izsófalva;3741
Jágónak;7357
Ják;9798
Jakabszállás;6078
Jákfa;9643
Jákfalva;3721
Jákó;7525
Jánd;4841
Jánkmajtis;4741
Jánoshalma;6440
Jánosháza;9545
Jánoshida;5143
Jánossomorja;9167
Jánossomorja;9242
Jánossomorja;9241
Jánossomorja;9241
Járdánháza;3664
Jármi;4337
Jásd;8424
Jászágó;5124
Jászalsószentgyörgy;5054
Jászapáti;5130
Jászárokszállás;5123
Jászberény;5152
Jászberény;5100
Jászboldogháza;5144
Jászdózsa;5122
Jászfelsőszentgyörgy;5111
Jászfényszaru;5126
Jászivány;5135
Jászjákóhalma;5121
Jászkarajenő;2746
Jászkisér;5137
Jászladány;5055
Jászszentandrás;5136
Jászszentlászló;6133
Jásztelek;5141
Jéke;4611
Jenő;8146
Jobaháza;9323
Jobbágyi;3063
Jósvafő;3758
Juta;7431
Kaba;4183
Kacorlak;8773
Kács;3424
Kacsóta;7940
Kadarkút;7530
Kajárpéc;9123
Kajászó;2472
Kajdacs;7051
Kakasd;7122
Kákics;7958
Kakucs;2366
Kál;3350
Kalaznó;7194
Káld;9673
Kálló;2175
Kallósd;8785
Kállósemjén;4324
Kálmáncsa;7538
Kálmánháza;4434
Kálócfa;8988
Kalocsa;6300
Káloz;8124
Kám;9841
Kamond;8469
Kamut;5673
Kánó;3735
Kántorjánosi;4335
Kány;3821
Kánya;8667
Kányavár;8956
Kapolcs;8294
Kápolna;3355
Kápolnásnyék;2475
Kapoly;8671
Kaposfő;7523
Kaposgyarmat;7473
Kaposhomok;7261
Kaposkeresztúr;7258
Kaposmérő;7521
Kapospula;7251
Kaposújlak;7522
Kaposvár;7400
Kaposvár;7451
Kaposszekcső;7361
Kaposszerdahely;7476
Káptalanfa;8471
Káptalantóti;8283
Kapuvár;9330
Kapuvár;9339
Kára;7285
Karácsond;3281
Karád;8676
Karakó;9547
Karakószörcsök;8491
Karancsalja;3181
Karancsberény;3137
Karancskeszi;3183
Karancslapujtő;3182
Karancsság;3163
Kárász;7333
Karcag;5300
Karcsa;3963
Kardos;5552
Kardoskút;5945
Karmacs;8354
Károlyháza;9182
Karos;3962
Kartal;2173
Kásád;7827
Kaskantyú;6211
Kastélyosdombó;7977
Kaszaper;5948
Kaszó;7564
Katádfa;7914
Katafa;9915
Kátoly;7661
Katymár;6455
Káva;2215
Kávás;8994
Kazár;3147
Kazár;3127
Kazincbarcika;3700
Kázsmárk;3831
Kazsok;7274
Kecel;6237
Kecskéd;2852
Kecskemét;6000
Kecskemét;6008
Kecskemét;6044
Kehidakustány;8784
Kék;4515
Kékcse;4494
Kéked;3899
Kékesd;7661
Kékkút;8254
Kelebia;6423
Keléd;9549
Kelemér;3728
Kéleshalom;6444
Kelevíz;8714
Kemecse;4501
Kemence;2638
Kemendollár;8931
Kemeneshőgyész;8516
Kemeneskápolna;9553
Kemenesmagasi;9522
Kemenesmihályfa;9511
Kemenespálfa;9544
Kemenessömjén;9517
Kemenesszentmárton;9521
Kemenesszentpéter;8518
Keménfa;8995
Kémes;7843
Kemestaródfa;9923
Kemse;7839
Kenderes;5331
Kenderes;5349
Kenéz;9752
Kenézlő;3955
Kengyel;5083
Kenyeri;9514
Kercaszomor;9945
Kercseliget;7256
Kerecsend;3396
Kerecseny;8745
Kerekegyháza;6041
Kerekharaszt;3009
Kereki;8618
Kerékteleki;2882
Kerepes;2144
Kerepes;2145
Keresztéte;3821
Kerkabarabás;8971
Kerkafalva;8973
Kerkakutas;8973
Kerkáskápolna;9944
Kerkaszentkirály;8874
Kerkateskánd;8879
Kérsemjén;4912
Kerta;8492
Kertészsziget;5526
Keszeg;2616
Kesznyéten;3579
Keszőhidegkút;7062
Keszthely;8360
Kesztölc;2517
Keszü;7668
Kétbodony;2655
Kétegyháza;5741
Kéthely;8713
Kétpó;5411
Kétsoprony;5674
Kétújfalu;7975
Kétvölgy;9982
Kéty;7174
Kevermes;5744
Kilimán;8774
Kimle;9181
Kincsesbánya;8044
Királd;3657
Királyegyháza;7953
Királyhegyes;6911
Királyszentistván;8195
Kisapáti;8284
Kisapostag;2428
Kisar;4921
Kisasszond;7523
Kisasszonyfa;7954
Kisbabot;9133
Kisbágyon;3046
Kisbajcs;9062
Kisbajom;7542
Kisbárapáti;7282
Kisbárkány;3075
Kisbér;2870
Kisbér;2879
Kisberény;8693
Kisberzseny;8477
Kisbeszterce;7391
Kisbodak;9234
Kisbucsa;8926
Kisbudmér;7756
Kiscsécs;3578
Kiscsehi;8888
Kiscsősz;8494
Kisdér;7814
Kisdobsza;7985
Kisdombegyház;5837
Kisdorog;7159
Kisecset;2655
Kisfalud;9341
Kisfüzes;3256
Kisgörbő;8356
Kisgyalán;7279
Kisgyőr;3556
Kishajmás;7391
Kisharsány;7800
Kishartyán;3161
Kisherend;7763
Kishódos;4977
Kishuta;3994
Kisigmánd;2948
Kisjakabfalva;7773
Kiskassa;7766
Kiskinizs;3843
Kiskorpád;7524
Kisköre;3384
Kiskőrös;6200
Kiskunfélegyháza;6100
Kiskunhalas;6400
Kiskunlacháza;2340
Kiskunmajsa;6120
Kiskutas;8911
Kisláng;8156
Kisléta;4325
Kislippó;7775
Kislőd;8446
Kismányok;7356
Kismarja;4126
Kismaros;2623
Kisnamény;4737
Kisnána;3264
Kisnémedi;2165
Kisnyárád;7759
Kisoroszi;2024
Kispalád;4956
Kispáli;8912
Kispirit;8496
Kisrákos;9936
Kisrécse;8756
Kisrozvágy;3965
Kissikátor;3627
Kissomlyó;9555
Kistamási;7981
Kistapolca;7823
Kistarcsa;2143
Kistelek;6760
Kistokaj;3553
Kistolmács;8868
Kistormás;7068
Kistótfalu;7768
Kisújszállás;5310
Kisunyom;9772
Kisvárda;4600
Kisvarsány;4811
Kisvásárhely;8341
Kisvaszar;7381
Kisvejke;7183
Kiszombor;6775
Kiszsidány;9733
Kisszállás;6421
Kisszékely;7082
Kisszekeres;4963
Kisszentmárton;7841
Kissziget;8957
Kisszőlős;8483
Klárafalva;6773
Kocs;2898
Kocsér;2755
Kocsola;7212
Kocsord;4751
Kóka;2243
Kokad;4284
Kolontár;8468
Komádi;4138
Komárom;2900
Komárom;2903
Komárom;2921
Komjáti;3765
Komló;7300
Komlódtótfalu;4765
Komlósd;7582
Komlóska;3937
Komoró;4622
Kompolt;3356
Kondó;3775
Kondorfa;9943
Kondoros;5553
Kóny;9144
Konyár;4133
Kópháza;9495
Koppányszántó;7094
Korlát;3886
Koroncó;9113
Kórós;7841
Kosd;2612
Kóspallag;2625
Kótaj;4482
Kovácshida;7847
Kovácsszénája;7678
Kovácsvágás;3992
Kozárd;3053
Kozármisleny;7761
Kozmadombja;8988
Köblény;7334
Köcsk;9553
Kökény;7639
Kőkút;7530
Kölcse;4965
Kölesd;7052
Kölked;7717
Kömlő;3372
Kömlőd;2853
Kömörő;4943
Kömpöc;6134
Körmend;9909
Körmend;9900
Környe;2851
Köröm;3577
Kőröshegy;8617
Körösladány;5516
Körösnagyharsány;5539
Köröstarcsa;5622
Kőröstetétlen;2745
Körösújfalu;5536
Körösszakál;4136
Körösszegapáti;4135
Kőszárhegy;8152
Kőszeg;9730
Kőszegdoroszló;9725
Kőszegpaty;9739
Kőszegszerdahely;9725
Kötcse;8627
Kötegyán;5725
Kőtelek;5062
Kővágóörs;8254
Kővágóörs;8255
Kővágószőlős;7673
Kővágótöttös;7675
Kövegy;6912
Köveskál;8274
Krasznokvajda;3821
Kulcs;2458
Kunadacs;6097
Kunágota;5746
Kunbaja;6435
Kunbaracs;6043
Kuncsorba;5412
Kunfehértó;6413
Kunhegyes;5340
Kunmadaras;5321
Kunpeszér;6096
Kunszállás;6115
Kunszentmárton;5440
Kunszentmárton;5449
Kunszentmiklós;6090
Kunsziget;9184
Kup;8595
Kupa;3813
Kurd;7226
Kurityán;3732
Kustánszeg;8919
Kutas;7541
Kutasó;3066
Kübekháza;6755
Külsősárd;8978
Külsővat;9532
Küngös;8162
Lábatlan;2541
Lábod;7551
Lácacséke;3967
Lad;7535
Ladánybene;6045
Ládbesenyő;3780
Lajoskomárom;8136
Lajosmizse;6050
Lak;3786
Lakhegy;8913
Lakitelek;6065
Lakócsa;7918
Lánycsók;7759
Lápafő;7214
Lapáncsa;7775
Laskod;4543
Lasztonya;8887
Látrány;8681
Lázi;9089
Leányfalu;2016
Leányvár;2518
Lébény;9155
Legénd;2619
Legyesbénye;3904
Léh;3832
Lénárddaróc;3648
Lendvadedes;8978
Lendvajakabfa;8977
Lengyel;7184
Lengyeltóti;8693
Lenti;8960
Lenti;8966
Lepsény;8132
Lesencefalu;8317
Lesenceistvánd;8319
Lesencetomaj;8318
Létavértes;4281
Létavértes;4283
Letenye;8868
Letkés;2632
Levél;9221
Levelek;4555
Libickozma;8707
Lickóvadamos;8981
Liget;7331
Ligetfalva;8782
Lipót;9233
Lippó;7781
Liptód;7757
Lispeszentadorján;8888
Liszó;8832
Litér;8196
Litka;3866
Litke;3186
Lócs;9634
Lókút;8425
Lónya;4836
Lórév;2309
Lothárd;7761
Lovas;8228
Lovasberény;8093
Lovászhetény;7720
Lovászi;8878
Lovászpatona;8553
Lőkösháza;5743
Lőrinci;3021
Lőrinci;3022
Lőrinci;3024
Lövő;9461
Lövőpetri;4633
Lucfalva;3129
Ludányhalászi;3188
Ludas;3274
Lukácsháza;9724
Lulla;8660
Lúzsok;7838
Mád;3909
Madaras;6456
Madocsa;7026
Maglóca;9169
Maglód;2234
Mágocs;7342
Magosliget;4953
Magy;4556
Magyaralmás;8071
Magyaratád;7463
Magyarbánhegyes;5667
Magyarbóly;7775
Magyarcsanád;6932
Magyardombegyház;5838
Magyaregregy;7332
Magyaregres;7441
Magyarföld;8973
Magyargéc;3133
Magyargencs;8517
Magyarhertelend;7394
Magyarhomorog;4137
Magyarkeresztúr;9346
Magyarkeszi;7098
Magyarlak;9962
Magyarlukafa;7925
Magyarmecske;7954
Magyarnádalja;9909
Magyarnándor;2694
Magyarpolány;8449
Magyarsarlós;7761
Magyarszecsőd;9912
Magyarszék;7396
Magyarszentmiklós;8776
Magyarszerdahely;8776
Magyarszombatfa;9946
Magyartelek;7954
Majosháza;2339
Majs;7783
Makád;2322
Makkoshotyka;3959
Maklár;3397
Makó;6900
Makó;6903
Malomsok;8533
Mályi;3434
Mályinka;3645
Mánd;4942
Mándok;4644
Mánfa;7304
Mány;2065
Maráza;7733
Marcalgergelyi;9534
Marcali;8709
Marcali;8700
Marcali;8714
Marcaltő;8531
Marcaltő;8532
Márfa;7817
Máriahalom;2527
Máriakálnok;9231
Máriakéménd;7663
Márianosztra;2629
Máriapócs;4326
Markaz;3262
Márkháza;3075
Márkó;8441
Markóc;7967
Markotabödöge;9164
Maróc;8888
Marócsa;7960
Márok;7774
Márokföld;8976
Márokpapi;4932
Maroslele;6921
Mártély;6636
Martfű;5435
Martonfa;7720
Martonvásár;2462
Martonyi;3755
Mátészalka;4700
Mátételke;6452
Mátraballa;3247
Mátraderecske;3246
Mátramindszent;3155
Mátranovák;3144
Mátranovák;3143
Mátraszele;3142
Mátraszentimre;3234
Mátraszentimre;3235
Mátraszőlős;3068
Mátraterenye;3145
Mátraterenye;3146
Mátraverebély;3077
Mátyásdomb;8134
Matty;7854
Mátyus;4835
Máza;7351
Mecseknádasd;7695
Mecsekpölöske;7305
Mecsér;9176
Medgyesbodzás;5664
Medgyesbodzás;5663
Medgyesegyháza;5666
Medgyesegyháza;5752
Medina;7057
Megyaszó;3718
Megyehíd;9754
Megyer;8348
Meggyeskovácsi;9764
Meggyeskovácsi;9757
Méhkerék;5726
Méhtelek;4975
Mekényes;7344
Mélykút;6449
Mencshely;8271
Mende;2235
Méra;3871
Merenye;7981
Mérges;9136
Mérk;4352
Mernye;7453
Mersevát;9531
Mesterháza;9662
Mesteri;9551
Mesterszállás;5452
Meszes;3754
Meszlen;9745
Mesztegnyő;8716
Mezőberény;5650
Mezőcsát;3450
Mezőcsokonya;7434
Meződ;7370
Mezőfalva;2422
Mezőgyán;5732
Mezőhegyes;5820
Mezőhék;5453
Mezőkeresztes;3441
Mezőkomárom;8137
Mezőkovácsháza;5800
Mezőkövesd;3400
Mezőladány;4641
Mezőlak;8514
Mezőnagymihály;3443
Mezőnyárád;3421
Mezőörs;9097
Mezőörs;9098
Mezőpeterd;4118
Mezősas;4134
Mezőszemere;3378
Mezőszentgyörgy;8133
Mezőszilas;7017
Mezőtárkány;3375
Mezőtúr;5400
Mezőzombor;3931
Miháld;8825
Mihályfa;8341
Mihálygerge;3184
Mihályháza;8513
Mihályi;9342
Mike;7512
Mikebuda;2736
Mikekarácsonyfa;8949
Mikepércs;4271
Miklósi;8669
Mikófalva;3344
Mikóháza;3989
Mikosszéplak;9835
Milejszeg;8917
Milota;4948
Mindszent;6630
Mindszentgodisa;7391
Mindszentkálla;8282
Misefa;8935
Miske;6343
Miskolc;3500
Miskolc;3525
Miskolc;3528
Miskolc;3530
Miskolc;3535
Miskolc;3533
Miskolc;3517
Miskolc;3515
Miskolc;3558
Miskolc;3529
Miskolc;3516
Miskolc;3501
Miskolc;3526
Miskolc;3521
Miskolc;3534
Miskolc;3531
Miskolc;3519
Miskolc;3532
Miskolc;3508
Miskolc;3524
Miskolc;3527
Miskolc;3518
Miszla;7065
Mocsa;2911
Mogyoród;2146
Mogyorósbánya;2535
Mogyoróska;3893
Moha;8042
Mohács;7700
Mohács;7715
Mohács;7714
Mohora;2698
Molnári;8863
Molnaszecsőd;9912
Molvány;7981
Monaj;3812
Monok;3905
Monor;2200
Monorierdő;2213
Mónosbél;3345
Monostorapáti;8296
Monostorpályi;4275
Monoszló;8273
Monyoród;7751
Mór;8060
Mórágy;7165
Mórahalom;6782
Móricgát;6132
Mórichida;9131
Mosdós;7257
Mosonmagyaróvár;9200
Mosonszentmiklós;9183
Mosonszentmiklós;9154
Mosonszentmiklós;9183
Mosonszolnok;9245
Mosonudvar;9246
Mozsgó;7932
Mőcsény;7163
Mucsfa;7185
Mucsi;7195
Múcsony;3744
Muhi;3552
Murakeresztúr;8834
Murarátka;8868
Muraszemenye;8872
Murga;7176
Murony;5672
Nábrád;4911
Nadap;8097
Nádasd;9915
Nádasdladány;8145
Nádudvar;4181
Nágocs;8674
Nagyacsád;8521
Nagyalásony;8484
Nagyar;4922
Nagyatád;7500
Nagybajcs;9063
Nagybajom;7561
Nagybakónak;8821
Nagybánhegyes;5668
Nagybaracska;6527
Nagybarca;3641
Nagybárkány;3075
Nagyberény;8656
Nagyberki;7255
Nagybörzsöny;2634
Nagybudmér;7756
Nagycenk;9485
Nagycsány;7838
Nagycsécs;3598
Nagycsepely;8628
Nagycserkesz;4445
Nagydém;8554
Nagydobos;4823
Nagydobsza;7985
Nagydorog;7044
Nagyecsed;4355
Nagyér;6917
Nagyesztergár;8415
Nagyfüged;3282
Nagygeresd;9664
Nagygörbő;8356
Nagygyimót;8551
Nagyhajmás;7343
Nagyhalász;4485
Nagyharsány;7822
Nagyhegyes;4064
Nagyhódos;4977
Nagyhuta;3994
Nagyigmánd;2942
Nagyiván;5363
Nagykálló;4320
Nagykamarás;5751
Nagykanizsa;8808
Nagykanizsa;8800
Nagykanizsa;8831
Nagykanizsa;8809
Nagykapornak;8935
Nagykarácsony;2425
Nagykáta;2760
Nagykereki;4127
Nagykeresztúr;3129
Nagykinizs;3844
Nagykónyi;7092
Nagykorpád;7545
Nagykovácsi;2094
Nagykozár;7741
Nagykökényes;3012
Nagykölked;9784
Nagykőrös;2750
Nagykörű;5065
Nagykutas;8911
Nagylak;6933
Nagylengyel;8983
Nagylóc;3175
Nagylók;2435
Nagylózs;9482
Nagymágocs;6622
Nagymányok;7355
Nagymaros;2626
Nagymizdó;9913
Nagynyárád;7784
Nagyoroszi;2645
Nagypáli;8912
Nagypall;7731
Nagypeterd;7912
Nagypirit;8496
Nagyrábé;4173
Nagyrada;8746
Nagyrákos;9938
Nagyrécse;8756
Nagyréde;3214
Nagyrév;5463
Nagyrozvágy;3965
Nagysáp;2524
Nagysimonyi;9561
Nagyszakácsi;8739
Nagyszékely;7085
Nagyszekeres;4962
Nagyszénás;5931
Nagyszentjános;9072
Nagyszokoly;7097
Nagytálya;3398
Nagytarcsa;2142
Nagytevel;8562
Nagytilaj;9832
Nagytótfalu;7800
Nagytőke;6612
Nagyút;3357
Nagyvarsány;4812
Nagyváty;7912
Nagyvázsony;8291
Nagyvejke;7186
Nagyveleg;8065
Nagyvenyim;2421
Nagyvisnyó;3349
Nak;7215
Napkor;4552
Nárai;9797
Narda;9793
Naszály;2899
Négyes;3463
Nekézseny;3646
Nemesapáti;8923
Nemesbikk;3592
Nemesborzova;4942
Nemesbőd;9749
Nemesbük;8371
Nemescsó;9739
Nemesdéd;8722
Nemesgörzsöny;8522
Nemesgulács;8284
Nemeshany;8471
Nemeshetés;8928
Nemeske;7981
Nemeskér;9471
Nemeskeresztúr;9548
Nemeskisfalud;8717
Nemeskocs;9542
Nemeskolta;9775
Nemesládony;9663
Nemesmedves;9953
Nemesnádudvar;6345
Nemesnép;8976
Nemespátró;8857
Nemesrádó;8915
Nemesrempehollós;9782
Nemessándorháza;8925
Nemesvámos;8248
Nemesvid;8738
Nemesvita;8311
Nemesszalók;9533
Nemesszentandrás;8925
Németbánya;8581
Németfalu;8918
Németkér;7039
Nemti;3152
Neszmély;2544
Nézsa;2618
Nick;9652
Nikla;8706
Nógrád;2642
Nógrádkövesd;2691
Nógrádmarcal;2675
Nógrádmegyer;3132
Nógrádsáp;2685
Nógrádsipek;3179
Nógrádszakál;3187
Nóráp;8591
Noszlop;8456
Noszvaj;3325
Nova;8948
Novaj;3327
Novajidrány;3872
Nőtincs;2610
Nyalka;9096
Nyárád;8512
Nyáregyháza;2723
Nyárlőrinc;6032
Nyársapát;2712
Nyékládháza;3433
Nyergesújfalu;2536
Nyésta;3809
Nyim;8612
Nyírábrány;4264
Nyíracsád;4262
Nyirád;8454
Nyíradony;4253
Nyíradony;4252
Nyíradony;4254
Nyírbátor;4300
Nyírbéltek;4372
Nyírbogát;4361
Nyírbogdány;4511
Nyírcsaholy;4356
Nyírcsászári;4331
Nyírderzs;4332
Nyíregyháza;4246
Nyíregyháza;4405
Nyíregyháza;4431
Nyíregyháza;4481
Nyíregyháza;4400
Nyíregyháza;4551
Nyíregyháza;4432
Nyíregyháza;4433
Nyírgelse;4362
Nyírgyulaj;4311
Nyíri;3998
Nyíribrony;4535
Nyírjákó;4541
Nyírkarász;4544
Nyírkáta;4333
Nyírkércs;4537
Nyírlövő;4632
Nyírlugos;4371
Nyírmada;4564
Nyírmártonfalva;4263
Nyírmeggyes;4722
Nyírmihálydi;4363
Nyírparasznya;4822
Nyírpazony;4531
Nyírpilis;4376
Nyírtass;4522
Nyírtelek;4461
Nyírtét;4554
Nyírtura;4532
Nyírvasvári;4341
Nyomár;3795
Nyőgér;9682
Nyugotszenterzsébet;7912
Nyúl;9082
Óbánya;7695
Óbarok;2063
Óbudavár;8272
Ócsa;2364
Ócsárd;7814
Ófalu;7695
Ófehértó;4558
Óföldeák;6923
Óhíd;8342
Okány;5534
Okorág;7957
Okorvölgy;7681
Olasz;7745
Olaszfa;9824
Olaszfalu;8414
Olaszliszka;3933
Olcsva;4826
Olcsvaapáti;4914
Old;7825
Ólmod;9733
Oltárc;8886
Onga;3562
Ónod;3551
Ópályi;4821
Ópusztaszer;6767
Orbányosfa;8935
Orci;7461
Ordacsehi;8635
Ordas;6335
Orfalu;9982
Orfű;7677
Orgovány;6077
Ormándlak;8983
Ormosbánya;3743
Orosháza;5905
Orosháza;5904
Orosháza;5900
Orosháza;5903
Oroszi;8458
Oroszlány;2840
